username,time_posted,title,price,description,status
guoling2112,2 days ago,"🚚 (E2076) MPIO [Apple MFi Certified] Apple Watch Charger 3.3 Feet/1 Meter iWatch Magnetic Fast Charging Cable, Great Replacement for Travel, Made for All Apple Watch Series 1/2/3/4 38mm, 40mm, 42mm, 44mm",20,"Apple Certified Cable: Apple MFi Magnetic Charging Cable for Apple Watch ( PPID:210348-0019 ), compatible with all Apple Watch 1/2/3/4 Magnetic Charging Module: Just only hold the charger close the back of the watch and magnet snap will automatically connect it. Larger size: 0.2in larger than Apple ",New
guoling2112,9 days ago,"🚚 (E2297) OPSO [ MFi Certified ] Apple Watch Charger, Magnetic Charging Cable Compatible with Apple Watch/iWatch 38mm 40mm 42mm 44mm - 3.3 Feet (1.0 Meter)",18,Apple Watch Magnetic Charging Module - Simply hold the connector near the back of the watch and magnets snap into place automatically Bigger Module Surface - For easier adsorption than Apple original charging cable (Does Not Match with Stands Which Support the Apple Original Charging Cable) Apple Ce,New
davee0,New Carouseller,Apple Watch series 4 40mm,460,Condition is as shown. Warranty till 18 nov 2019. Full box   Not for fussy user.   NO swap or trade ,Used
ballonbleu,10 days ago,Original Hermes Apple Watch Strap for 42/44mm in Stunning Orange,580,"This is an authentic Hermes Apple Watch silicone strap taken off an Apple Watch Series 2 (this only came with a Series 2).  This is a one-of-a-kind strap, not available for sale in Hermes stores or anywhere else.   Color is unique and unmistakably Hermès Orange.  Fits 42mm and 44mm Apple Watch Serie",New
sasibv,13 days ago,Apple Watch strap,35,Apple series 4 Watch strap- 1 no 40mm/38mm Soft luxurious full grain leather strap  Only Watch strap- New in original packing ,New
dvinci15,3 days ago,Apple iPhone 8 Plus,800,9.5/10 Mint condition (no dents/no scratches) Complete with box &amp; Apple accessories Willing to trade for Bnew Apple Watch Series 4 plus cash,Used
behappy1314,4 days ago,Apple Watch UV Nano Screen Protector Tempered Glass 9H HD,9.50,"Apple Watch 4 40mm / 44mm 3D Screen Protector Tempered Full Curve Crystal Clear Premium Screen Protector.  Package Includes: 1 * 9H Tempered Glass / PET Screen Protector, 1 * Microfibre Cleaning Cloth, 1 * Alcohol Wipe  38mm / 40mm / 42mm / 44mm PET Flim $4.90 38mm / 40mm / 42mm / 44mm Tempered Glas",New
armourdilo,3 days ago,🚚 Apple Watch Series 4,520,"Looking to purchase Apple Watch Series 4. Either 40 or 44mm. Any size will do, new or used. I have a Microsoft Surface Pro 4 i5 8gb ram 256gb SSD for trade. Do let me know if you’re interested in trading. No more warranty, an exchange set from Microsoft on July 2018. Under-utilise.",Used
the_radioactive_0814,3 days ago,apple watch series 4,600,"apple watch series 4 space gray aluminum black sport band - 44mm   brand new with the original box  no cellular, gps model   no receipt, (won in a lucky draw)  no nego ",New
cm261,New Carouseller,Apple Watch Series 4 GPS 40mm (Brand New-Sealed Pack with receipt),570,"Unopened pack of Apple Watch Series4, got as a gift. Already have one, so selling it. Please contact me further to purchase, Thankyou",New
binbiz,14 days ago,Apple watch series 42mm black,550,Brand New  Apple Watch series 4 42mm  Full box,New
shiang___,3 days ago,Apple Watch Series 4,380,Please eat burger,Used
weehwk,15 days ago,[BNIB] Apple Watch Series 4 - 44mm (cellular + GPS),725,"[BNIB] Apple Watch Series 4 - 44mm (cellular + GPS)  Apple Watch Series 4 Silver Aluminium Case With White Sport Band Cellular  Alternatively, selling a $100 promo code for purchase of the Apple iWatch via singtel website @ $75  Pm if keen",New
terroryl,7 days ago,Apple Watch series 4,0,I have $2500 Apple vouchers . Let me know which Apple Watch you want and I can purchase for you at a discounted rate ,New
thewestlights,5 days ago,Apple Leather Band/Strap- Midnight Blue,80,Apple Watch strap - new  Description: 42mm Leather Loop Size: Large  Works with Apple Watch Series 3 and 4; 42mm works with 44mm case  Retails for $229.  Brand new Authentic  Selling for cheaper as item does not come in original packaging.   No nego.,New
bhaveshkundlia,2 days ago,Apple Watch Accessories,10,Unused &amp; New Apple Watch Series 4 (44mm) Strap and dial case. Each $10  Self collect Ping me for more details.,New
eg_hub,7 days ago,Apple series 4 watch,549.90,"In Stocks Available!  Brand new and sealed!    Apple Watch Series 4 (GPS, 40mm)  Space Gray Aluminium Case with Black Sport Band  Latest Model 🕶 US version. Global warranty for 1 year. Not activated yet   Features ⭐ -GPS -Over 30% larger display and 50% louder speaker -Electrical and optical heart s",New
cyberist,8 days ago,Apple Watch Series 4,510,apple Watch 44mm but still great condition as from pictures 🙂 band condition 9.8/10 watch screen condition 8.8/10 (minor scratches) watch condition (aluminum sides)10/10 box and charger condition10/10 still in warranty 😙 selling as switched to Android :) hmu soon,Used
touirms,8 days ago,Apple Watch Series 4,538,Brand New Apple Watch 40mm Series 4 with black band. Sealed box Unopened.  Watch warranty can be started on the date of collection because I haven’t collect the watch from the store yet.   Apple watch model: APPLE WATCH S4 GPS 40 SG AL BLK S/B  MU662ZA/A  Pick up at Takashimaya or Yishun MRT. ,New
salvos46,6 days ago,Apple Watch Series 4 GPS + Cellular ,549,"Apple Watch Series 4  Brand new in box. $6oo (Usual price at retail is $799) Colours - Silver Aluminum Case, White Sport Band  see my listings for more items   ",New
rahulsetiya,2 days ago,Apple watch,440,"Apple Watch series 4, 40 mm. Used for only 2 months, absolutely mint condition, comes with box.  Whatsapp me at 9030-6818 ",Used
welcomehomecasing,12 days ago,Waterproof Apple Iwatch Strap by jansin & APPLE Watch 44mm,40,Brand : JANSIN X Liveer  Suitable for:  Perfectly fits all versions' iwatch including for Apple Watch Series 3 &amp; Series 2 Nike+ and series 4.   DESIGN:  The Catalyst case for 42mm Apple Watch Series 3 is FULLY COMPATIBLE with Apple Watch Series 2. This is the world’s first and only Apple Watch case ,New
1kshops,3 days ago,🚚 Apple Watch Series 4 44mm,700,"Apple Watch Series 4 44mm GPS+CELLULAR $700 Black Condition 9.8/10  ROS : Rarely Used  100% Authentic Still UnderWarranty Bought in Mid May  Tags : Watch , gshock , hublot , apple product , apple watch , rolex , petek phillip , tissot , tag huer , watches ",Used
freshjunkyardz,2 days ago,🚚 Apple Watch Series 2 42mm (perfect for iPhone user),250,Good condition used Apple Watch Series 2 42mm for sale. Comes with strap and box.  Perfect pairing for iPhone user   Selling due to upgraded to Series 4,Used
champ_ace1,3 days ago,"Solid Stainless Steel Metal Link Bracelet Bands Compatible for Apple Watch Series 4/3/2/1, Black",60,"Features &amp; details The metal replaceable watch band is compatible with Apple Watch 44mm series 4, 42mm series 3/2/1 smartwatch. Comfortable fit 5.9""-8.5"" (150mm-215mm) wrist, very easy to adjusting the length by the small bar tool provided  Genuine buyers will be entertained. Replies will not be giv",New
elitez.electronic.sale,8 days ago,"🚚 (E2076) MPIO [Apple MFi Certified] Apple Watch Charger 3.3 Feet/1 Meter iWatch Magnetic Fast Charging Cable, Great Replacement for Travel, Made for All Apple Watch Series 1/2/3/4 38mm, 40mm, 42mm, 44mm",20,"Apple Certified Cable: Apple MFi Magnetic Charging Cable for Apple Watch ( PPID:210348-0019 ), compatible with all Apple Watch 1/2/3/4 Magnetic Charging Module: Just only hold the charger close the back of the watch and magnet snap will automatically connect it. Larger size: 0.2in larger than Apple ",New
gunpriest,7 days ago,Catalyst Impact Protection case for Apple Watch 44mm series 4,60,"Hi, I’m selling this brand new Catalyst Impact Protection case for Apple Watch 44mm series 4. Please message me to deal. Thanks.   #Apple #catalyst #watch #case #44mm",New
darylhong,11 days ago,Apple Watch series 4,580,"TOP condition. 44mm series 4 watch. Note that it’s cellular but as it is from the US, the cellular cannot be used in Singapore. However, all other functions remain the same! ",Used
champ_ace1,5 days ago,Leather Strap (Orange) for Apple Watch,60,"Leather Band Compatible for Apple Watch 42mm 44mm, Genuine Leather Retro Vintage Wristband Compatible iWatch Series 4, Series 3, Series 2, Series 1, Sports &amp; Edition Men, Orange  Only genuine buyers will be entertained. ",New
welcomehomecasing,3 days ago,{Instock} JANSIN Apple iwatch rugged case strap,15,"By Aoto - JANSIN. This Apple Watch Case is tough when it comes to protecting your timepiece from bumps, drops, and scrapes, but it still manages to feel great while it is on your wrist. That is all because this case is constructed from a combination of polycarbonate and soft polyurethane materials t",New
chomel_mh,11 days ago,Apple Watch Series 4 GPS+ Cellular 44mm,759,BNIP Apple Watch Series 4 GPS+ Cellular Silver Aluminium Case White Sport Band- 44mm  Meet up available at CCK/ Chinatown. ,New
chimera08,7 days ago,🚚 Apple Watch Series 4 or Apple Watch Series 3 (Selling Singtel Voucher),30,"1) I am selling the voucher. You go online buy from Singtel shop without contract.  2) I have a promo code from Singtel for $100 discount. See third picture. I take $30, you take $70.  https://nocontract.singtel.com/collections/apple-watch-series-4  https://nocontract.singtel.com/collections/apple/c",New
yun93,5 days ago,"(K392) Charging Dock for IPhone XS, XS Max, XR, X, 8/8 Plus and More, Apple Watch Series 4, 3, 2, 1, Black",40,"ITEM IS SIMILAR LOOKING AS PIC BUT ITS NOT BELKIN'S.    Apple charging dock safely charges your Apple Watch and iPhone at the same time Works with iPhone XS, iPhone XS Max, iPhone XR running iOS 12.1 or later; Compatible with iPhone 8, iPhone 8 Plus, iPhone X and previous   iPhone models with Lightn",New
essentialbasics,7 days ago,"INSTOCK Croc Genuine Leather Apple Watch strap for series 3 42mm, series 3 38mm, series 4 40mm, series 4 44mm ALL sizes",22,✔HIGH QUALITY LEATHER MATERIAL ✔INSTOCKS ✔Genuine Leather ✔Brown Leather ✔Croc Style ✔Formal style  Chat me with your watch size to buy!  Dimensions: 38mm/40mm/42mm/44mm ⌚Able to fit Apple watches series 1-4 ALL sizes available ready stock!  ***BRAND NEW and unused***  Chat with me to buy now! (Tell,New
onekornersg,5 days ago,"(K392) Charging Dock for IPhone XS, XS Max, XR, X, 8/8 Plus and More, Apple Watch Series 4, 3, 2, 1, Black",40,"ITEM IS SIMILAR LOOKING AS PIC BUT ITS NOT BELKIN'S.    Apple charging dock safely charges your Apple Watch and iPhone at the same time Works with iPhone XS, iPhone XS Max, iPhone XR running iOS 12.1 or later; Compatible with iPhone 8, iPhone 8 Plus, iPhone X and previous   iPhone models with Lightn",New
mary1980,3 days ago,Apple watch strap,12,Nylon loop band for Apple watch series 1 2 3 4 Color: Dragon Fruit color  Pls browse my page for more strap model &amp; colors available.  Thanks for viewing!🤗,New
harsh.chotai,13 hours ago,Apple watch series 4 ( 44mm ),550,Others,Used
alwaysun,2 days ago,Apple Watch Series 4- 44mm,600,"No nego, no trade.   GPS version only",New
davee0,yesterday,Apple Watch series 4 40mm,460,Condition is as shown. Warranty till 18 nov 2019. Full box   Not for fussy user.   NO swap or trade ,Used
kentheng,yesterday,Apple Watch Series 4 40mm Space Grey,485,"Apple Watch Series 4 40mm GPS only, with Black Sports Band. 1 year Warranty, receipt 15th July 2019. BNIB, no trades. Cash / meetup.  Thank you :)",New
_poopcorn_,9 days ago,🚚 🌟BN INSTOCKS Milanese Silver Watch Loop for Apple Watch,12,Brand new instocks! Only 1 set avail  Milanese watch loop for Apple Watch  Fits 38/40mm Series 4 Silver color  Strong magnetic clasp Adjustable and fits well for all wrist sizes,New
lulungjc,yesterday,Apple watch series 4 44mm,480,Space grey aluminum case with Anthracite/Black Nike sport band Condition 8.5/10 Small micro scratches on the screen due to normal usage. Only visible under bright light and up close. In great working condition.  Comes with the Nike sports band and the original apple sports band.  Reason for selling.,Used
vincent.leong42,2 days ago,Apple Watch Series 2 42mm Space Grey,250,"Hi Friends,   I am looking to sell my Apple Watch Series 2 42mm Space Grey. Here are some quick details  1) Apple Watch Series 2 42mm Space Grey 2) Fully functional with additional screen protector.  3) Condition 9.5/10. No bumps. No scratches. Screen protector is dirty.  3) Comes with full box - BN",Used
mrapplestraps,yesterday,"[READY STOCK] Retro Gold Milanese loop for apple watch iwatch series 4/3/2/1, 44mm/42mm/40mm/38mm",23,⌚Elite watch accesories 100%quality control ⌚Strong magnetic grip ✔100+ POSITIVE FEEDBACKS ⌚READY STOCK ⌚4 colors available ⌚Silver/Black/Pink gold/Retro gold ⌚STRAP ONLY  Dimensions: 38mm/40mm/42mm/44mm ⌚Able to fit Apple watches series 1-4 All size  This color is Retro Gold color in this listing :,New
yun93,5 days ago,"(K382) 3 in 1 Charging Stand Silicone Compatible with Apple Watch, AirPods and iPhone Xs/Xs Max/Xr/ 8/8 Plus【iPhone Original Cables Required-NOT Included】(BLACK",15,"【PREMIUM SILICONE】The silicone stand for apple watch, iphone, AirPods is made of silicone material with soft finish, keeping your Apple devices from scratching, sturdy but also lightweight and compact.  【WIDE COMPATIBILITY】The holder is suitable for Apple Watch Series 1/ Series 2/ Series 3/ Series 4",New
aeru299,14 days ago,Apple Watch Series 4,560,Brand New in Box and wrapping. Space gray aluminium case and black sport band. Totally un opened. Won in lucky draw.,New
onekornersg,5 days ago,"(K382) 3 in 1 Charging Stand Silicone Compatible with Apple Watch, AirPods and iPhone Xs/Xs Max/Xr/ 8/8 Plus【iPhone Original Cables Required-NOT Included】(BLACK)",15,"【PREMIUM SILICONE】The silicone stand for apple watch, iphone, AirPods is made of silicone material with soft finish, keeping your Apple devices from scratching, sturdy but also lightweight and compact. 【WIDE COMPATIBILITY】The holder is suitable for Apple Watch Series 1/ Series 2/ Series 3/ Series 4;",New
cheapcheapclearance,14 days ago,Apple watch series 4,600,Price reduced Brand new  Only open to see Space grey aluminium case 40mm,New
conxept,yesterday,"Apple Watch Series 4 , 44 mm. Space Gray",490,"Selling a superb condition apple watch series 4 44 mm space gray aluminum. With original black nylon sport strap. Comes complete with the box, manuals and charging cable only no adaptor. Still under warranty til october. Selling very cheap. No scratches or dents. Will give also one watch case. ",Used
sneakerhead.x,15 days ago,Apple Watch Series 4 44MM Cellular Ver.,570,Hi Im selling my pre-loved Apple watch series 4 44mm rose gold watch.  Been using it for few months.   Condition 9/10  Feel free to ask if interested.  Cheers!,Used
sanjukumar,10 days ago,Brand new Apple Watch Series 4 ((Cellular + GPS),750,"Brand new watch , never used , as per pack from Apple   Series 4 (44 mm)   Bought from Apple Orchard , receipt will be provided as well.  Selling at fixed price , non-negotiable   First collect first serve  Meet at Buangkok MRT  Apple store price - SGD 799 ",New
antwoo,6 days ago,"Casual Woven Nylon Apple Watch band New, Series 4, --44mm",16,"Selling this brand new Casual Woven Nylon Apple Watch band New, Series 4, --44mm..Black color.   Item will send out by post...",New
apple1521,16 days ago,PO Apple Watch Sports Casing,15,New Apple Watch Casing!! Will be PO till further notice:) Available in all series and sizes!! Available in all colours shown in photos Casing does not cover front of the watch and does not affect charging. Gives your device a sporty look to it! Promotion: Buy 2 get 1 free/ get a sports strap for jus,New
allmustgofasterbuy,15 days ago,Apple Watch Series 4,590,"BNIB, Sealed. Standard Strap. Space Grey, 44mm. GPS version (no cellular) 1-year Warranty not activated. PM for details. ",New
diesel1234,17 days ago,Apple Watch Series 4 glass screen protector (44mm),10,Selling a brand new Apple Watch 4 series tempered glass protector for 44mm.   Self collect at AMK/ Bishan. ,New
welcomehomecasing,3 days ago,Instock (Jansin) Apple iwatch milanese strap / apple watch,20,Jansin sport milanese loop strap band for apple watch 4/3/2/1 stainless steel link bracelet wrist watchband for iwatch  New Design by #JANSIN  Model 38/40mm Model 42/44mm  Black series  Silver series    Price $20 Mailing $1.50,New
welcomehomecasing,2 days ago,{Instock Apple watch} Apple watch sport strap by Aoto X Close,16,"Compatible for Apple Watch,Compatible Models: For apple watch Series 1/2/3/4  Breathable design to avoid sweating, made of premium environment friendly silicone material, prevents skin from irritation, perfect for outdoor sports.  Band comes with watch lugs on both ends, which locks onto watch band ",New
saikangaglioolio,9 days ago,Apple Watch Series 4 44mm GPS Space Grey Nike,550,Comes with box and additional straps if price is met. Screen protector applied since day. Price is firm.  Tags: Apple Watch series 1 2 3 4 Samsung galaxy gear AirPods smartwatch fitness tracker fitbit Garmin tracker gps watch iPhone X xs max iWatch Nike Adidas ,Used
saikangaglioolio,9 days ago,Apple Watch Series 4 44mm GPS + Cellular / LTE Nike Silver,650,Comes with box and additional strap. Screen protector applied since day 1. Price is firm.  Tags: Apple Watch series 1 2 3 4 Samsung galaxy gear AirPods smartwatch fitness tracker fitbit Garmin tracker gps watch iPhone X xs max iWatch Nike Adidas ,Used
phases,11 days ago,apple watch series 4 milanese loop,19,NOT OFFICIAL fits 44mm brand new in box no mailing for this item bc it contains magnetic material  tags: apple watch series 4 44mm iwatch accessories iphone ipad macbook ipod airpods,New
vincent89,9 days ago,Apple Watch Series 4 GPS (Brand New),525,Apple Watch Series 4 (GPS) Brand New Silver Aluminum Case Seashell Sports Loop 40mm  Won it at a D&amp;D lucky draw. Was peer-pressured to open the box but did not remove the watch from case. Totally brand new.   slight damage to box (see picture 3).   ,New
gloomyxx,11 days ago,Apple Watch Series 4 (44mm),550,• Gold Aluminum Case with Pink Sand Sport Band • Condition as good as new • Used lightly  • GPS • Free stainless steel rose gold stripes • Warranty till 6 Feb 2020,Used
dadadiao,18 days ago,Catalyst apple watch series 4 44mm,55,Apple watch series 4 catalyst impact protection casing. Never use before.,New
baby_luna_yy,20 days ago,Apple watch series 4 case (TPU material),7,Apple watch series 4  Black TPU case -40mm,New
elitez.electronic.sale,12 days ago,"(E2297) OPSO [ MFi Certified ] Apple Watch Charger, Magnetic Charging Cable Compatible with Apple Watch/iWatch 38mm 40mm 42mm 44mm - 3.3 Feet (1.0 Meter)",18,Apple Watch Magnetic Charging Module - Simply hold the connector near the back of the watch and magnets snap into place automatically Bigger Module Surface - For easier adsorption than Apple original charging cable (Does Not Match with Stands Which Support the Apple Original Charging Cable) Apple Ce,New
lynjergi,16 days ago,Apple Watch Series 4,"1,100","New,Untouched and Unopened Apple Watch Series 4!  Original 40mm Plain Black Stainless Steel Milanese Loop (GPS and Cellular)  Bought it at an Apple Store in New York Price negotiable  Reason for selling : M1 don’t support cellular",New
mary1980,2 days ago,Apple watch strap,12,Nylon loop band for Apple watch series 1 2 3 4  Available for 42mm &amp; 44mm   Color: hyper grape/ midnight blue  Please browse my page for more strap model and colors available  Thanks for viewing! 🤗,New
mary1980,2 days ago,Apple watch milanese strap,15,"Milanese Loop Magnetic Buckle Band For Apple Watch 38mm, 40mm, 42mm &amp; 44mm Stainless Steel Strap For iwatch Series 1 2 3 4 Milanese Watchband  Available stocks: 38mm &amp; 40mm - silver only 42mm &amp; 44mm- black &amp; silver only ",New
hoach,7 days ago,Apple Watch Series 4 (GPS) 44mm,450,"Selling a used Apple Watch Series 4, 44mm, Space Grey Aluminium Case, Black Sport Band.  Physical Condition: 8.5/10 (Some scratches on screen) Working Condition: 10/10 (Fully working, no problem)  Watch is still under apple warranty till September 20, 2019. Comes with full box and accessories.   Sel",Used
mary1980,2 days ago,Apple watch strap,12,"Nylon loop band for Apple watch series 1 2 3 4  Available for 38mm, 40mm, 42mm &amp; 44mm   Color: marine green  Please browse my page for more strap model and colors available  Thanks for viewing! 🤗",New
shrtr,19 days ago,Apple Watch Series 4,558,BNIB Apple Watch Series 4  Space Gray Aluminium Case Black Sport Band (40mm) Local Set with warranty,New
mary1980,2 days ago,Apple Watch Strap,12,"Nylon loop band for Apple watch series 1 2 3 4  Available for 38mm, 40mm, 42mm &amp; 44mm   Color: tahoe blue  Please browse my page for more strap model and colors available  Thanks for viewing! 🤗",New
mary1980,3 days ago,Apple watch strap,12,"  Nylon loop band for Apple watch series 1 2 3 4  Available for 38mm, 40mm, 42mm &amp; 44mm   Color: Smokey Mauve  Please browse my page for more strap model and colors available  Thanks for viewing! 🤗",New
mary1980,2 days ago,Apple watch strap,12,"Nylon loop band for Apple watch series 1 2 3 4  Available for 38mm, 40mm, 42mm &amp; 44mm   Color: spicy orange  Please browse my page for more strap model and colors available  Thanks for viewing! 🤗",New
mary1980,2 days ago,🚚 Apple Watch Strap,12,"Nylon loop band for Apple watch series 1 2 3 4  Available for 38mm, 40mm, 42mm &amp; 44mm   Color: sea shell  Please browse my page for more strap model and colors available  Thanks for viewing! 🤗",New
mary1980,3 days ago,Apple watch strap,12,"  Nylon loop band for Apple watch series 1 2 3 4  Available for 38mm, 40mm, 42mm &amp; 44mm   Color: New red  Please browse my page for more strap model and colors available  Thanks for viewing! 🤗",New
mary1980,2 days ago,Apple Watch strap,12,"Nylon loop band for Apple watch series 1 2 3 4  Available for 38mm, 40mm, 42mm &amp; 44mm   Color: sand pink  Please browse my page for more strap model and colors available  Thanks for viewing! 🤗",New
jarelltkh,yesterday,"🚚 Apple Watch Nike+ Series 4 GPS, 44mm Space Grey",600,"Used Apple Watch Nike+ Series 4 GPS, 44mm Space Grey. Condition 9.9/10 Warranty until 30th May 2020. Comes with original box and all included accessories. Will throw in a Spigen case and screen protector. Message me for more details!!!",Used
ainsimple09,14 days ago,🚚 Apple Watch series 4 44mm,540,Watches,Used
mary1980,2 days ago,Apple Watch Strap,12,Nylon loop band for Apple watch series 1 2 3 4  Available for 38mm 40mm 42mm &amp; 44mm   Color: olive flak  Please browse my page for more strap model and colors available  Thanks for viewing! 🤗,New
ticklemickle,9 days ago,🚚 SUMATO WATCH BOX FOR APPLE WATCH PRICE REDUCE FROM $40,30,Selling 80 USD on Sumato Website.  Super good and useful i got 2 set thats why selling one. p  With built in powerbank + wireless pocket charger  https://www.sumatowatchbox.com/products/sumato-watchbox-smart-charging-case-with-power-bank-for-apple-watch-series-4-3-2-1,New
phases,11 days ago,apple watch series 4 strap,11,not official fits both 42mm and 44mm brand new in packaging have no. 4 (baby pink) and 9 (white)  tags: apple watch series 4 44mm iwatch accessories iphone ipad macbook ipod airpods,New
essentialbasics,18 days ago,"INSTOCK Apple Watch Strap silicone band for iwatch series 3 42mm, series 4 40mm, series 4 44mm, series 1/2/3/4, 38mm/40mm/42mm/44mm",14,✔HIGH QUALITY SILICONE MATERIAL ✔INSTOCKS ✔11 colors to choose from! ✔Black/Lavender/Red/Midnight Blue/White/Grey/Orange/Lilac/Light Blue/Walnut/Pink  Dimensions: 38mm/40mm/42mm/44mm ⌚Available stock for Apple watches series 1-4 ALL sizes   ALL ITEMS ARE BRAND NEW AND READY STOCK!  BUY 1 FOR $14 BUY,New
essentialbasics,15 days ago,"INSTOCK Woven Nylon Apple watch strap sports loop for series 3 38mm, series 4 40mm all sizes 42mm/44mm/40mm/38mm series 1-4iwatch",18,✔HIGH QUALITY NYLON MATERIAL ✔INSTOCKS ✔7 colors to choose from! ✔Black/Grey/Red/Midnight Blue/Pink Sand/Indigo/Violet Colors to choose  This design is woven nylon sports loop  Chat me with your watch size to buy!  Dimensions: 38mm/40mm/42mm/44mm ⌚Able to fit Apple watches series 1-4 ALL sizes avail,New
msm29,9 hours ago,Apple Watch Series 4 40mm GPS,500,Excellent condition!! Hardly worn. No scratches nor dents. Warranty until Dec 2019. Comes with original unused pink sports sand loop. Excludes the black sports loop seen in this pic coz I bought this black loop separately. The original pink sports loop that comes with it is not used nor worn before.,Used
wontan,4 days ago,Apple Watch Series 4 44MM GPS,560,"Selling used Apple Watch Series 4 44MM GPS Alu Space Grey   No scratches at all, good as new (protective casing since day 1).  Warranty till end May 2020.  Everything in the box is included, and will provide one extra strap and charger (third party).  No extra pics, these are all I have.  This is no",Used
marineboy3300,2 days ago,Apple Watch Series 4 with extended warranty,599,"Apple Watch Series 4, 44mm with extended warranty till Dec 2020. Still got 1 year 5 months warranty left.   Letting go cos under utilised.  (Worn less than 5 times).   My loss is your gain. Interested please PM me.  Slight nego for serious buyer.  Original price paid was $787 at Orchard Apple Store ",Used
affordabletechs,7 hours ago,🚚 Apple Watch Series 4 40MM GPS+CEL,550,Warranty Valid Box &amp; Charger  Nike+ Version (original band given away)  Free bands as seen in pic Price non nego only self collection  Cygnett Transparent Bumper Case + Tempered Glass $69  Original $749+$69 ,Used
kagami,yesterday,🚚 Apple watch series 4 44mm space grey,600,"Only wore less than 5 times, selling it as I upgrade phone to huawei",Used
